node_id,character,stage,narrative_text,image_hint,policy_note,policy_countries,location,source_notes,path_description
courier_start,Courier,Airport Offer,"A  stranger approaches you near the check-in counter at Jorge Chávez Airport. She explains that her suitcase is overweight, and could you please take this carry on with you? She promises it's just food and souvenirs her family in Madrid. The suitcase looks normal, with typical tourist items visible through the mesh pocket. She offers you $500 to take it.",lima_airport,"Peru prosecutes drug trafficking harshly: 8-15 years as the minimum under Penal Code Article 296. Airport security at Jorge Chávez has increased with 30% of luggage inspected. Drug dogs are active, and international flights are heavily monitored. $500 is a tempting offer but the risk is severe.","Peru,Spain,Colombia","Jorge Chávez Airport, Lima - Departure area",Peru Penal Code Article 296; Jorge Chávez security statistics; UNODC courier arrest data,START - The offer
courier_security,Courier,Security Checkpoint,"You're approaching security with the stranger's suitcase. You see drug-sniffing dogs ahead. Your heart races. Behind you, police officers lead another young woman away from the line, and towards an unknown corridor. You're getting closer. You can go through with it, dump the suitcase and keep the $500, or report it to authorities.",security_checkpoint,Peru airport security uses trained dogs (70% detection rate for cocaine). Chemical swabs detect residue even after drugs have been removed. Reporting suspicious items should protect you but authorities often treat reporters as suspects. ,"Peru,Spain,Bolivia",Jorge Chávez Airport - Security checkpoint,Airport security procedures; Detection rate statistics; Witness treatment protocols,DECISION - At checkpoint
courier_detected,Courier,Arrested,"The drug dog approaches you, and then fixates on your suitcase. Security pulls you aside, takes the suitcase, escorts you to a small private room. They open the bag, and beneath a hidden compartment, they find two kilograms of taped up bags. The swab they test them with turns blue: positive for cocaine. You can either confess now, waive your rights, and cooperate for a reduced sentence, or deny your involvement and be arrested. ",interrogation_room,"Being found in possession of two kilograms of cocaine is treated as major trafficking in Peru. Confessing and cooperating can reduce the 8 to 15 year sentence by 40-50%. But cooperation often means waving access to an attorney, and there is little protection offered from criminal organisations seeking payback.  ","Peru,Spain,Ecuador",Airport security room - Jorge Chávez,Peru procedural law on cooperation; Witness protection Law 27378; Sentencing guidelines,ARRESTED - Legal choice
dealer_start,Dealer,Recruitment,"You've been waiting for 3 years for your asylum decision, and meanwhile you can't work legally in Sweden. Migrationsverket gives you 71 SEK per day (about $7). You're homeless, sleeping in the subway. A friend of a friend offers you work delivering cocaine in a wealthy neighborhood: 500 SEK per delivery, 5-10 deliveries daily. But dealing cocaine in Sweden means 2-10 years prison, then automatic deportation.",stockholm_subway,Sweden criminalizes drug dealing with 2-10 years imprisonment. Many of Stockholm's street dealers are asylum seekers or undocumented migrants. Deportation is automatic after drug conviction. No 'social need' legal defense exists.,"Sweden,Portugal,Netherlands","Stockholm, Sweden - Rinkeby/Tensta",Swedish Aliens Act; Narkotics Punishment Act; Migrationsverket statistics 2023; Stockholm Police reports,START - Impossible choice
dealer_street,Dealer,Operations,"You've been dealing for two weeks. Your supplier gives you three options: (1) Stand on a known corner in Södermalm - high visibility, high income, police patrol every hour. (2) Delivery service only using phone and bicycle - lower visibility but police monitor phones and movement patterns. (3) Try to quit - but you already owe the supplier for 'fronted' drugs you haven't fully paid for.",sodermalm_street,"Swedish police use extensive surveillance: phone monitoring, informants, undercover operations. Street corners in Södermalm have constant police presence. Delivery dealers are tracked through phone data and bicycle GPS patterns. The conviction rate for caught dealers is over 90%. Average sentence for small-scale dealing is 3-5 years. ","Sweden,Germany,UK",Stockholm - Södermalm,Swedish Police Authority surveillance reports; Data Protection Authority guidelines; Court statistics 2023,DEALING - Method choice
dealer_police_encounter,Dealer,Arrest,"Police officers approach. They've been watching you. They saw the hand-to-hand transaction. You have 5g of cocaine in your pocket. According to Swedish law that means you can be prosecuted for intent to supply (2-10 years). You have two options: (1) Run, risking injury, a guaranteed arrest, and a longer sentence. (2) Cooperate, for a potential 50% sentence reduction if you inform on your supplier (but suppliers retaliate against informants). ",police_confrontation,Running adds obstruction charges (3-12 months). Physical resistance equals assault charges. Sweden offers sentence reduction for cooperation (up to 50%) but requires substantial information on suppliers. Witness protection exists but is limited for non-citizens. Cooperation doesn't prevent deportation after sentence.,"Sweden,Norway,Denmark",Stockholm - Södermalm street corner,Swedish Penal Code Chapter 17; Witness Protection Program guidelines; Police assault statistics,ARREST - Cooperate or run
dealer_alternatives,Dealer,Legal Options,"You refused the dealing job. You're back to 71 SEK/day, homeless, desperate. You have options: (1) Report your situation to social services, which might help, but may also report you to Migrationsverket if you admit to criminal activity. (2) Find informal work - construction, cleaning, cash-in-hand - illegal employment where exploitation is common and you have no legal recourse.",asylum_accommodation,"Social services have reporting obligations to migration authorities. Admitting illegal work can jeopardize asylum claim. Still, many asylum seekers work informally while waiting, risking asylum rejection.","Sweden,Germany,Italy",Stockholm - Asylum accommodation,Swedish Work Environment Act; Social Services Act; Migration Court case law; Worker exploitation reports,LEGAL PATH - Limited options
transporter_start,Transporter,Bribe Offer,"The foreman approaches your truck at the Port of Callao. They give you an address for an immediate delivery, and they offer cash -- but no questions asked. You've worked at this port for 5 years, and you have heard of deals like these. You suspected your company was involved in it. You know what the punishment will be if you're caught, but the cash offered is three months salary, and refusing could cost you your job. ",port_callao_docks,"Peru Penal Code Article 296-A: Drug trafficking using transportation is punished by 8-20 years depending on quantity. Port of Callao is a major cocaine export point, with police corruption documented. ","Peru,Colombia,Mexico",Port of Callao - Loading docks,Peru Penal Code Article 296-A; Port corruption reports; Transportation trafficking statistics,START - The offer
transporter_delivery,Transporter,Highway Delivery,"The container is loaded. You have fake paperwork and three months' pay, in cash, in your pocket. You're driving toward destination. Ahead, you see a police checkpoint: they're stopping all trucks tonight. Random inspections. If they check your paperwork against the container, they might catch you. If they open the container, they'll definitely catch you. ",highway_checkpoint,Peru police checkpoints randomly inspect trucks. If caught: 8-15 years minimum for transportation role. Cooperating reduces sentence but puts the driver at risk of retaliation. ,"Peru,Colombia,Bolivia",Highway to Chorrillos - Checkpoint ahead,Checkpoint inspection rates; Cooperation sentencing guidelines; Fugitive outcomes,DELIVERY - Checkpoint decision
transporter_report,Transporter,Reporting Decision,"You refused the bribe. Now your boss doesn't look at you the same. Your locker, at the warehouse, is gone. You think you're about to get fired. You think about reporting this to the police, but you know they are notoriously corrupt. Alternatively, you could call the federal police but their investigations take months, leaving you exposed. ",port_security_office,An estimated 30-40% of police officers take bribes from traffickers in Peru. Federal police (DIRANDRO) is cleaner but slower. Witness protection (Law 27378) is underfunded. Retaliation against reporters is common.,"Peru,Colombia,Netherlands",Port of Callao - Security office,Port corruption documentation; DIRANDRO effectiveness; Witness protection funding,REPORT - Authority choice
wholesaler_start,Wholesaler,Package Retrieval,"Your Colombian supplier texts: 'Package arrived. Container BCNU-4728, Port of Barcelona. 50kg. Retrieve within 48 hours.' This is $500,000 in wholesale value. Customs is inspecting 30% of containers this month. You need someone to retrieve it. Options: bribe a port worker ($5,000), use fake credentials yourself (risky but cheaper), or hire a migrant ($500).",barcelona_apartment,Spain Penal Code Article 368: Large-scale trafficking (50kg) = 9-13.5 years as a base. Organized crime enhancement: +4-8 years. Heightened port security. Undercover operations common. Surveillance of successful operations standard.,"Spain,Netherlands,UK",Barcelona - Apartment,Spain Penal Code Article 368; Port security statistics; Organized crime law Article 570bis,START - Retrieval plan
