iso3_code,country,region,subregion,year,unit_of_measurement,value_total,value_drug,drug_prisoner_percentage
AND,Andorra,Europe,Southern Europe,2010,"Rate per 100,000 population",54.52,4.96,9.09
ARG,Argentina,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",143.45,4.33,3.02
AUS,Australia,Oceania,Australia and New Zealand,2010,"Rate per 100,000 population",137.7,29.2,21.21
AUT,Austria,Europe,Western Europe,2010,"Rate per 100,000 population",105.35,12.22,11.6
AZE,Azerbaijan,Asia,Western Asia,2010,"Rate per 100,000 population",241.57,56.85,23.53
BGR,Bulgaria,Europe,Eastern Europe,2010,"Rate per 100,000 population",126.1,8.91,7.07
BHS,Bahamas,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",347.78,45.72,13.15
BRB,Barbados,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",330.62,84.29,25.49
CHE,Switzerland,Europe,Western Europe,2010,"Rate per 100,000 population",73.67,12.69,17.22
COL,Colombia,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",192.12,73.86,38.44
CZE,Czechia,Europe,Eastern Europe,2010,"Rate per 100,000 population",209.29,38.59,18.44
DNK,Denmark,Europe,Northern Europe,2010,"Rate per 100,000 population",71.09,9.57,13.46
EST,Estonia,Europe,Northern Europe,2010,"Rate per 100,000 population",254.84,36.95,14.5
FIN,Finland,Europe,Northern Europe,2010,"Rate per 100,000 population",62.72,7.91,12.6
GTM,Guatemala,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",76.88,3.06,3.98
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,2010,"Rate per 100,000 population",140.64,79.81,56.75
IRL,Ireland,Europe,Northern Europe,2010,"Rate per 100,000 population",97.39,36.59,37.57
ITA,Italy,Europe,Southern Europe,2010,"Rate per 100,000 population",115.12,49.17,42.71
JPN,Japan,Asia,Eastern Asia,2010,"Rate per 100,000 population",56.93,11.46,20.14
