iso3_code,country,region,subregion,indicator,dimension,category,sex,age,year,unit_of_measurement,value,source
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,3.0,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,203.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,0.0,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,3047.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,87.0,CTS
ITA,Italy,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,13783.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,0.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,9.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,16145.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,1897.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,627.0,CTS
ROU,Romania,Europe,Eastern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,579.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,814.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2016,Counts,285.0,CTS
BMU,Bermuda,Americas,Northern America,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,31.0,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,14.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,886.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,4916.0,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,204.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,0.0,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,6490.0,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,205.0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,29.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,83.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,94.0,CTS
ITA,Italy,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,14616.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,0.0,CTS
LUX,Luxembourg,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,152.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,8.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,11108.0,CTS
MKD,North Macedonia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,505.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,66.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,1790.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,512.0,CTS
PHL,Philippines,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,1555.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,848.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2017,Counts,297.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,95.0,CTS/MoI
BMU,Bermuda,Americas,Northern America,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,19.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,2662.0,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,711.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,7220.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,3.0,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,6023.0,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,256.0,CTS
GRC,Greece,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1645.0,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1680.0,CTS
HUN,Hungary,Europe,Eastern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,468.0,CTS
ITA,Italy,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,14556.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,0.0,CTS
LUX,Luxembourg,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,187.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,115.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,12980.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,41.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1.0,CTS
NIC,Nicaragua,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,506.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1727.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,437.0,CTS
PER,Peru,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1830.0,CTS
PHL,Philippines,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,1745.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,772.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,258.0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2018,Counts,99.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,2.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,0.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,107.0,CTS/MoI
BMU,Bermuda,Americas,Northern America,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,15.0,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,33.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,888.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,7081.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,13209.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,11.0,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,923.0,NGO/CTS
FRA,France,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,14578.0,CTS
GRC,Greece,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,1556.0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,54.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,176.0,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,1490.0,CTS
HUN,Hungary,Europe,Eastern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,557.0,CTS
IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,15.0,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,57.0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,0.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,132.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,14375.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,48.0,CTS
NIC,Nicaragua,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,842.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,1461.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,432.0,CTS
PER,Peru,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,2905.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,0.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,799.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,313.0,CTS
THA,Thailand,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,207081.0,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,368.0,NGO
USA,United States of America,Americas,Northern America,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2019,Counts,76100.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,0.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,0.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,41.0,CTS/MoI
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,8.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,815.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,5419.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,2400.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,12.0,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1458.0,NGO/CTS
FRA,France,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,13476.0,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,214.0,CTS
GRC,Greece,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1288.0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,27.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,88.0,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1048.0,CTS
IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,23.0,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,24.0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,0.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,79.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,16857.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,49.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,8.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1336.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1286.0,CTS
PER,Peru,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,1871.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,724.0,CTS
SUR,Suriname,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,2.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,227.0,CTS
THA,Thailand,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,201796.0,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2020,Counts,155.0,NGO
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,0.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,74.0,CTS/MoI
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,733.0,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,14.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,784.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,6954.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,7383.0,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,187.0,CTS
CZE,Czechia,Europe,Eastern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,2410.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1.0,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,543.0,NGO/CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,103.0,CTS
ESP,Spain,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,10117.0,CTS
FRA,France,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,15975.0,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,504.0,CTS
GRC,Greece,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1246.0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,18.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,831.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,83.0,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1389.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,330.0,CTS
ITA,Italy,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,10824.0,CTS
