Country/Territory of Seizure,Year,Quantity Seized,,,,,
Albania,2019,0.1294,,,,,
Albania,2020,1.0282,,,,,
Albania,2022,1.9846,,,,,
Albania,2023,3.09136,,,,,
Albania,2024,0.00573,,,,,
Algeria,2014,0.6369999999999999,,,,,
Algeria,2016,1.99071,,,,,
Algeria,2017,1.096,,,,,
Algeria,2018,1.952,,,,,
Algeria,2019,52.69115,,,,,
Algeria,2020,10.370339999999999,,,,,
Algeria,2021,5.72771,,,,,
Algeria,2022,461.428093,,,,,
Algeria,2023,9.15483,,,,,
Algeria,2024,157.04279,,,,,
Andorra,2012,0.104,,,,,
Andorra,2018,0.421,,,,,
Andorra,2020,0.10880000000000001,,,,,
Andorra,2023,0.07563,,,,,
Antigua and Barbuda,2022,0.07,,,,,
Antigua and Barbuda,2024,202.011,,,,,
Armenia,2014,1,,,,,
Armenia,2015,23.465,,,,,
Armenia,2017,0.01424,,,,,
Armenia,2021,1.6,,,,,
Armenia,2024,4,,,,,
Austria,2011,3.7239999999999998,,,,,
Austria,2012,20.94178,,,,,
Austria,2013,11.394,,,,,
Austria,2014,14.00139,,,,,
Austria,2015,17.60364,,,,,
Austria,2016,48.9927,,,,,
Austria,2017,19.5941,,,,,
Austria,2018,23.34938,,,,,
Austria,2019,31.57301,,,,,
Austria,2020,20.0374,,,,,
Austria,2021,10.57699,,,,,
Austria,2022,32.32862,,,,,
Austria,2023,21.80201,,,,,
Azerbaijan,2020,0.553,,,,,
Azerbaijan,2021,0.089941,,,,,
Bahamas,2017,436.905,,,,,
Bahamas,2018,36.379,,,,,
Belarus,2017,4e-05,,,,,
Belarus,2018,0.24813,,,,,
Belarus,2019,1.61975,,,,,
Belarus,2020,0.106,,,,,
Belgium,2011,313.144,,,,,
Belgium,2012,17.09,,,,,
Belgium,2018,16492.49,,,,,
Belgium,2019,24956.72,,,,,
Belgium,2020,17385.06,,,,,
Belgium,2021,44179.44,,,,,
Belgium,2022,17149.723,,,,,
Belgium,2023,34885.252,,,,,
Belgium,2024,11080.961,,,,,
Benin,2011,1.56,,,,,
Benin,2018,49.22,,,,,
Benin,2019,0.07879,,,,,
Benin,2021,977.04,,,,,
Benin,2022,0.6556000000000001,,,,,
Benin,2023,13.905790000000001,,,,,
Benin,2024,354.23697999999996,,,,,
Bolivia (Plurinational State of),2011,28457.8598,,,,,
Bolivia (Plurinational State of),2012,26294.583599999998,,,,,
Bolivia (Plurinational State of),2018,5419.682,,,,,
Bolivia (Plurinational State of),2019,5200.86776,,,,,
Bolivia (Plurinational State of),2020,7252.947,,,,,
Bolivia (Plurinational State of),2021,7626.631,,,,,
Bolivia (Plurinational State of),2022,7821.165,,,,,
Bolivia (Plurinational State of),2023,8827.9459,,,,,
Bolivia (Plurinational State of),2024,12429.974,,,,,
Bosnia and Herzegovina,2018,0.05338,,,,,
Bosnia and Herzegovina,2019,0.7799499999999999,,,,,
Bosnia and Herzegovina,2020,0.4246039999999999,,,,,
Bosnia and Herzegovina,2021,1.2203,,,,,
Bosnia and Herzegovina,2022,1.253193,,,,,
Bosnia and Herzegovina,2023,88.37040900000001,,,,,
Bosnia and Herzegovina,2024,1.3901299999999999,,,,,
Botswana,2023,1.4825355999999998,,,,,
Brazil,2012,18.701,,,,,
Brazil,2014,361.7,,,,,
Brazil,2023,17822.82,,,,,
Brazil,2024,13503.374,,,,,
Brunei Darussalam,2018,2,,,,,
Bulgaria,2012,294.98400000000004,,,,,
Bulgaria,2013,17.648,,,,,
Bulgaria,2014,25.878,,,,,
Bulgaria,2015,3.219,,,,,
Bulgaria,2016,2.854,,,,,
Bulgaria,2017,14.38,,,,,
Bulgaria,2018,2.5,,,,,
Bulgaria,2019,0.017,,,,,
Bulgaria,2020,0.24,,,,,
Bulgaria,2021,0.012,,,,,
Bulgaria,2022,5.721,,,,,
Bulgaria,2023,1.808,,,,,
