iso3_code,country,region,subregion,year,unit_of_measurement,value_total,value_drug,drug_prisoner_percentage,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",192.12,73.86,38.44,,,,,,
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2010,"Rate per 100,000 population",85.67,6.17,7.2,,,,,,
PRT,Portugal,Europe,Southern Europe,2010,"Rate per 100,000 population",111.91,36.87,32.94,,,,,,
SWE,Sweden,Europe,Northern Europe,2010,"Rate per 100,000 population",73,36.08,49.43,,,,,,
USA,United States of America,Americas,Northern America,2010,"Rate per 100,000 population",732.68,76.19,10.4,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2011,"Rate per 100,000 population",221.94,89.4,40.28,,,,,,
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2011,"Rate per 100,000 population",82.9,5.21,6.29,,,,,,
PRT,Portugal,Europe,Southern Europe,2011,"Rate per 100,000 population",122.71,39.31,32.03,,,,,,
SWE,Sweden,Europe,Northern Europe,2011,"Rate per 100,000 population",70.58,34.65,49.09,,,,,,
USA,United States of America,Americas,Northern America,2011,"Rate per 100,000 population",717.12,102.48,14.29,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2012,"Rate per 100,000 population",135.72,105.54,77.76,,,,,,
BRA,Brazil,Americas,Latin America and the Caribbean,2012,"Rate per 100,000 population",289.68,134.15,46.31,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2012,"Rate per 100,000 population",249.11,76.2,30.59,,,,,,
ESP,Spain,Europe,Southern Europe,2012,"Rate per 100,000 population",145.89,61.87,42.41,,,,,,
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2012,"Rate per 100,000 population",79.65,4.81,6.03,,,,,,
PRT,Portugal,Europe,Southern Europe,2012,"Rate per 100,000 population",131.98,42.84,32.46,,,,,,
SWE,Sweden,Europe,Northern Europe,2012,"Rate per 100,000 population",66.14,29.69,44.89,,,,,,
USA,United States of America,Americas,Northern America,2012,"Rate per 100,000 population",703.66,132.57,18.84,,,,,,
BRA,Brazil,Americas,Latin America and the Caribbean,2013,"Rate per 100,000 population",305.43,146.91,48.1,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2013,"Rate per 100,000 population",260.08,40.72,15.66,,,,,,
ESP,Spain,Europe,Southern Europe,2013,"Rate per 100,000 population",142.48,58.87,41.32,,,,,,
FRA,France,Europe,Western Europe,2013,"Rate per 100,000 population",104.17,12.2,11.71,,,,,,
GRC,Greece,Europe,Southern Europe,2013,"Rate per 100,000 population",115.73,51.68,44.65,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2013,"Rate per 100,000 population",226.7,48.88,21.56,,,,,,
PRT,Portugal,Europe,Southern Europe,2013,"Rate per 100,000 population",138.98,43.79,31.51,,,,,,
SWE,Sweden,Europe,Northern Europe,2013,"Rate per 100,000 population",59.61,24.92,41.8,,,,,,
USA,United States of America,Americas,Northern America,2013,"Rate per 100,000 population",694.29,129.92,18.71,,,,,,
BRA,Brazil,Americas,Latin America and the Caribbean,2014,"Rate per 100,000 population",303.74,64.13,21.11,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2014,"Rate per 100,000 population",244.01,71.41,29.27,,,,,,
ESP,Spain,Europe,Southern Europe,2014,"Rate per 100,000 population",139.16,56.01,40.25,,,,,,
FRA,France,Europe,Western Europe,2014,"Rate per 100,000 population",102.44,12.25,11.96,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2014,"Rate per 100,000 population",245.21,53.99,22.02,,,,,,
PRT,Portugal,Europe,Southern Europe,2014,"Rate per 100,000 population",136.44,42.61,31.23,,,,,,
SWE,Sweden,Europe,Northern Europe,2014,"Rate per 100,000 population",59.89,23.1,38.57,,,,,,
USA,United States of America,Americas,Northern America,2014,"Rate per 100,000 population",688.64,127.69,18.54,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2015,"Rate per 100,000 population",256.43,37.07,14.45,,,,,,
ESP,Spain,Europe,Southern Europe,2015,"Rate per 100,000 population",131.98,51.12,38.73,,,,,,
FRA,France,Europe,Western Europe,2015,"Rate per 100,000 population",102.71,12.47,12.14,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2015,"Rate per 100,000 population",259.98,49.28,18.95,,,,,,
PRT,Portugal,Europe,Southern Europe,2015,"Rate per 100,000 population",138.6,22.12,15.96,,,,,,
SWE,Sweden,Europe,Northern Europe,2015,"Rate per 100,000 population",58.07,23.45,40.38,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2016,"Rate per 100,000 population",249.87,52.59,21.05,,,,,,
ESP,Spain,Europe,Southern Europe,2016,"Rate per 100,000 population",127.51,46.05,36.12,,,,,,
GRC,Greece,Europe,Southern Europe,2016,"Rate per 100,000 population",88.72,16.67,18.79,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2016,"Rate per 100,000 population",272.76,56.43,20.69,,,,,,
PRT,Portugal,Europe,Southern Europe,2016,"Rate per 100,000 population",134.51,42.48,31.58,,,,,,
