DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Afghanistan,Afghanistan,1,0.014,0.014,Non-specified cocaine-type,2015.0,2015.0
Albania,Hungary,1,0.394,0.394,Non-specified cocaine-type,2012.0,2012.0
Algeria,Spain,1,0.44,0.44,Non-specified cocaine-type,2011.0,2011.0
Andorra,Spain,2,0.037,0.019,Non-specified cocaine-type,2013.0,2014.0
Angola,Portugal,1,1.7,1.7,Non-specified cocaine-type,2012.0,2012.0
Argentina,Argentina,12,270.244,22.52,Non-specified cocaine-type,2012.0,2015.0
Argentina,Australia,1,0.63,0.63,Non-specified cocaine-type,2016.0,2016.0
Argentina,Belgium,9,20.207,2.245,Non-specified cocaine-type,2011.0,2015.0
Argentina,Bulgaria,5,4.353,0.871,Non-specified cocaine-type,2012.0,2015.0
Argentina,Ethiopia,1,20.63,20.63,Non-specified cocaine-type,2012.0,2012.0
Argentina,France,2,0.34,0.17,Non-specified cocaine-type,2016.0,2016.0
Argentina,Gabon,2,1.61,0.805,Non-specified cocaine-type,2013.0,2013.0
Argentina,Hungary,8,2.183,0.273,Non-specified cocaine-type,2012.0,2013.0
Argentina,Italy,7,16.391,2.342,Non-specified cocaine-type,2012.0,2013.0
Argentina,Mongolia,1,65.751,65.751,Non-specified cocaine-type,2012.0,2012.0
Argentina,Morocco,1,0.78,0.78,Non-specified cocaine-type,2011.0,2011.0
Argentina,Mozambique,1,6.0,6.0,Non-specified cocaine-type,2011.0,2011.0
Argentina,Netherlands,10,90.276,9.028,Non-specified cocaine-type,2011.0,2012.0
Argentina,Nigeria,5,5.895,1.179,Non-specified cocaine-type,2014.0,2016.0
Argentina,Portugal,17,1304.048,76.709,Non-specified cocaine-type,2011.0,2016.0
Argentina,Romania,1,1.49,1.49,Non-specified cocaine-type,2012.0,2012.0
Argentina,Slovakia,1,0.258,0.258,Non-specified cocaine-type,2012.0,2012.0
Argentina,South Africa,1,1.34,1.34,Non-specified cocaine-type,2013.0,2013.0
Argentina,Spain,504,1988.926,3.946,Non-specified cocaine-type,2011.0,2016.0
Argentina,Turkey,2,1.442,0.721,Non-specified cocaine-type,2012.0,2012.0
Argentina,Uganda,1,0.36,0.36,Non-specified cocaine-type,2015.0,2015.0
Argentina,United Kingdom (England and Wales),1,0.893,0.893,Non-specified cocaine-type,2012.0,2012.0
Argentina,Uruguay,2,2.0,1.0,Non-specified cocaine-type,2015.0,2015.0
Armenia,Turkey,1,4.847,4.847,Non-specified cocaine-type,2015.0,2015.0
Austria,Austria,2,0.597,0.298,Non-specified cocaine-type,2016.0,2016.0
Austria,Bulgaria,3,0.88,0.293,Non-specified cocaine-type,2012.0,2015.0
Austria,Romania,1,0.141,0.141,Non-specified cocaine-type,2015.0,2015.0
Austria,Serbia,2,0.428,0.214,Non-specified cocaine-type,2016.0,2016.0
Bangladesh,Spain,1,0.806,0.806,Non-specified cocaine-type,2011.0,2011.0
Barbados,Portugal,1,167.4,167.4,Non-specified cocaine-type,2014.0,2014.0
Belgium,Austria,7,16.604,2.372,Non-specified cocaine-type,2012.0,2016.0
Belgium,Cyprus,1,0.735,0.735,Non-specified cocaine-type,2011.0,2011.0
Belgium,Hungary,1,0.56,0.56,Non-specified cocaine-type,2012.0,2012.0
Belgium,Italy,2,0.582,0.291,Non-specified cocaine-type,2013.0,2013.0
Belgium,Luxembourg,3,1.313,0.438,Non-specified cocaine-type,2015.0,2015.0
Belgium,Norway,1,0.17,0.17,Non-specified cocaine-type,2012.0,2012.0
Belgium,Spain,6,26.112,4.352,Non-specified cocaine-type,2011.0,2014.0
"Bolivia, Plurinational State of",Austria,1,0.201,0.201,Non-specified cocaine-type,2012.0,2012.0
"Bolivia, Plurinational State of",Belgium,2,3.937,1.969,Non-specified cocaine-type,2013.0,2015.0
"Bolivia, Plurinational State of",Brazil,1,90.0,90.0,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
"Bolivia, Plurinational State of",Chile,2,21.98,10.99,Non-specified cocaine-type,2016.0,2016.0
"Bolivia, Plurinational State of",Cuba,1,0.86,0.86,Non-specified cocaine-type,2014.0,2014.0
"Bolivia, Plurinational State of",Germany,1,7.48,7.48,Non-specified cocaine-type,2016.0,2016.0
"Bolivia, Plurinational State of",Greece,4,4.0,1.0,Non-specified cocaine-type,2012.0,2012.0
"Bolivia, Plurinational State of",Italy,4,6.275,1.569,Non-specified cocaine-type,2012.0,2016.0
"Bolivia, Plurinational State of",Netherlands,2,159.11,79.555,Non-specified cocaine-type,2011.0,2015.0
"Bolivia, Plurinational State of",Nigeria,1,2.1,2.1,Coca leaf,2013.0,2013.0
"Bolivia, Plurinational State of",Paraguay,15,369.727,24.648,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
"Bolivia, Plurinational State of",Portugal,7,341.597,48.8,Non-specified cocaine-type,2011.0,2016.0
"Bolivia, Plurinational State of",Romania,1,0.4,0.4,Non-specified cocaine-type,2011.0,2011.0
